username,product_name,review,rating
e***y,SONY SRS-XB100 Extra Bass Bluetooth Speaker / SRS XB100 / SRSXB100,"terbaik,pengiriman cepat,admin responsif,barang original,semoga awet.. terimakasih.",5
Hilman,PS5 Playstation 5 Dualsense Edge Wireless Controller Coal,"Everyrhing great so far, love the black accent on it! 🥰",5
Goldim,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Alhamdulillah aman lancar. Rejeki dari flash sale beli ini cuma bayar 80rb.,5
Yogi,Sony WH CH720 Wireless Headphones / WH-CH720 / WHCH720 / Sony WH-CH720,"packing rapih dan aman, kualitas barang top",5
Regi,Sony DualSense PS5 Dual-Sense Chroma Indigo CFI-ZCT1G11 Stick PS 5,Mewah,5
Denny,SONY SRS-XB100 Extra Bass Bluetooth Speaker / SRS XB100 / SRSXB100,"Makasih bosku,, barang sdah di terima dgn baik👍🏻👍🏻👍🏻",5
nadia,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"Sukaaa banget warnanya so cute, kualitas udah pasti oke karna sony, ga ada noise canceling tp kalo lagi pake suara sekitar tetep lumayan ketutup kok jadi ga ganggu, overa...",5
j***n,Sony ZV E10 Sony ZVE10 Mirrorless Camera Kit 16-50mm,"Packing baik, saller baik, barang ori",5
P***A,Sony PS5 Slim Ghost of Yotei - Gold Limited Edition Bundle Sony PS 5 Playstation 5,"Setelah menunggu belasan purnama akhirnya datang juga, belum dicoba masih sayang utk dipandangi. Amanah selalu buat tokonya👍🏻",5
H***m,Sony PS5 Slim Console Disc Edition Sony Playstation 5,Barang diterima dengan kondisi yang mantap dan pengiriman yang cepat,5
M***a,Sony ZV E10 II Sony ZVE10 Mark II Mirrorless Camera Body Only,"toko amanah, adm ramah, super oke",5
P***A,Sony Playstation 5 PS5 DualSense Charging Station / Charging Stick PS5,"Barang lengkap, semua berfungsi dengan aman. Garansi resmi indonesia
Mantaplah pokoknya…adminnya fast respon dan ramah. Amanah dan sukses👍🏻",5
G***l,Sony Battery and Charger Kit with NP-BX1 Battery ACC-TRBX,"Kejernihan lensa: mantap
Kualitas pengerjaan: mantap",5
Q***l,SONY GP-VPT2BT Wireless Bluetooth Shooting Grip GP VPT2BT / GPVPT2BT,"Kejernihan lensa: mantap
Kualitas pengerjaan: mantap",5
Irvan,Sony WF-C710N Noice Cancelling Truly Wireless / WFC710N,"fiturnya berfungsi dengan baik, kualitas suara tws nya juga cukup okee",5
E***i,SONY IER-EX15C USB-C Wired Earphones / IEREX15C,Performance: Oke,5
Riza,Sony DualSense PS5 Dual-Sense Chroma Indigo CFI-ZCT1G11 Stick PS 5,"Barang sesuai deskripsi.
BNIB, semua berfungsi normal.
Warnanya keren, metalic dgn efek gradasi. berubah warna antara biru dan ungu.",5
Rachmanda,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"Packing aman,pengiriman cepat karena untuk hadiah jadi belum tahu kualitas soundnya bagaimana
Tapi kalau SONY biasanya mantap",5
Rizki,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"Dapat rezeki 10.10 diskon besar, kualitas sony ga usah diragukan lagi pasti suara oke dan build quality bagus",5
I***N,Sony MDR EX155AP / Sony EX155AP / MDR EX155AP / EX155AP Headphone,Sony MDR EC155AP headset sesuai dengan deskripsi. Berfungsi dengan baik,5
muhammad,SONY A7S III Body Only / A7SIII / A7SM3 / A7S Mark3 / A7S Mark III,"barangnya sampai,packingnya rapi..tp usahakan yg ada packing kayunya",5
Uke,SONY ULT Field 3 Portable Wireless Speaker / SRS-ULT30 / SRSULT30,"barang sesuai deskripsi, suara khas sony, bass sangat oke dengan fitur ult.",5
Memories,Sony ZV E10 Sony ZVE10 Mirrorless Camera Kit 16-50mm,"Overall lumayan, since ga beda jauh dengan a6400
tapi karena ngejar compact video, akhirnya disaranin ini",5
Richard,Sony PS5 Slim Console Digital Edition Sony Playstation 5,"Pengiriman cepat, packingan aman ! ⭐️⭐️⭐️⭐️⭐️",5
Berlyanty,Sony DualSense PS5 Wireless Controller - 30th Anniversary Limited Edition PlayStation 5 PS 5,"Pesanan sudah diterima dengan baik,kualitas produk bagus,packing standar,pengiriman cepat",5
Berlyanty,Sony DualSense PS5 Wireless Controller - 30th Anniversary Limited Edition PlayStation 5 PS 5,"Pesanan sudah diterima dengan baik,kualitas produk bagus,packing standar,pengiriman cepat",5
H***d,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Suaranya ajiiiiiiiiiiiiiiiiiiiiiiibbbbbbbb 👍🏼,5
Vincent,SONY FE 35mm f/1.8 FullFrame LENS / SEL35F18F LENSA Full Frame,mantapp,5
Khalid,Sony Alpha a6400 a 6400 Mirrorless Digital Camera with E PZ 16-50mm f3.5-5.6 OSS II,"barang asli, packing rapi, pengiriman aman",5
H***t,Sony WF 1000XM5 / WF 1000XM5/ WF1000XM5 Headphone Noise Canceling,"Kualitas terbaik, pengiriman cepat bisa instant 1 hari sampai. Recommended!",5
Yoga,Sony Playstation 5 PS5 PlayStation Portal Remote Player,"Keren banget, barang berkualitas, mantap",5
Indra,"SONY Bravia X75K 43 Inch 4K HDR TV,Smart TV KD 43X75K",Adminnya sangat membantu dan barang sampai dengan selamat,5
A***e,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Alhamdulillah anak suka. Suara jaminan kualitas sony. Worth to buy.,5
Hendrik,Sony A7IV Sony a74 Sony A7 IV a7m4 Mirrorless Camera Kit 28-70mm Lens,Terima Kasih barangnya sangat bagus sesuai dengan keinginan saya semoga awet dan semoga banyak pembelinya. Toko Recomend banget nih... Trimakasih 🙏,5
d***n,SONY SRS-XB100 Extra Bass Bluetooth Speaker / SRS XB100 / SRSXB100,"barangnya bagus,suaranya cukup",4
V***n,Sony DualSense PS5 Dual-Sense Chroma Indigo CFI-ZCT1G11 Stick PS 5,Barang Asli sesuai deskripsi,5
Mumin,Sony WF-C710N Noice Cancelling Truly Wireless / WFC710N,Terbaik pelayanan dan produknya,5
L***e,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Product Bagus. Kiriman cepat. Suara bagus,5
E***Y,Sony DualSense PS5 Wireless Controller - 30th Anniversary Limited Edition PlayStation 5 PS 5,"pengiriman cepat, berfungsi dengan baik, semoga awet",5
T***a,Sony MDR ZX310AP / Sony ZX310AP / ZX310AP / Overbands Headset,cepat dan barang sesuai. mantap.terimakasih,5
adi,Sony SRS-NB10 Wireless Neckband Speaker,suara Ok walau bass nya ga berasa.. tapi enak banget pake dengerin lagu,5
Arkam,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Melebihi ekspektasi kualitasnyaaaaaaa ga nyangka si 😭❤️‍🩹,5
A***a,Sony MDR EX155AP / Sony EX155AP / MDR EX155AP / EX155AP Headphone,Semua fitur berfungsi dengan baik,5
A***a,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Barang cepat sampai,5
Willy,Sony Gran Turismo 7 Playstation 5 PS5,"Paket aman sampai di tujuan , kaset mulus no baret” , mantapp",5
B***l,Sony 128GB SF-M Tough Series UHS-II SDXC Memory Card / 128 GB SF M,Fast Sony memory really good b,5
B***l,Sony ACC BC-TRW Battery Charger,Original charger,5
B***l,Sony Alpha a6400 a 6400 Mirrorless Digital Camera with E PZ 16-50mm f3.5-5.6 OSS II,Perfect,5
R***s,Sony NP-BX1 Rechargeable Lithium-Ion Battery Pack,…,5
H***s,Sony SRS ULT10 ULT FIELD 1 Bluetooth Speaker / SRS-ULT10 XBM / SRS ULT10 XBM,Muuantabbb pol suaranya. Fitur bass nya Sony emang nggak diragukan lagi 👍. Jernih dan jelas speaker nya.,5
r***o,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Kualitas suara sony sudah teruji. Kualitas bahan premium. Warna sesuai dengan deskripsi produk.,5
D***i,Sony Gran Turismo 7 Playstation 5 PS5,Barang sampai dengan baik. Belum dicoba,5
Yosep,Sony WF-C510 Truly WF C510 Wireless Earphone WFC510 Ear-phone Bluetooth C510,Sampainya cepat barang ORI mulus,5
Yekti,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,Bagus kualitasnya,5
Ferdi,Sony NP-FW50 Rechargeable Battery Pack,pas dicoba kamera saya tidak menyala. positif thinking mungkin batrenya memang kosong sejak awal. pas dicas baru bisa dipake.,5
l***h,Sony ZV E10 Sony ZVE10 Mirrorless Camera Kit 16-50mm,good,5
Faisal,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,👍,5
Sonia,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"kualitas headphonenya bagus sekali, suaranya jernih dan nyaman dipakai berjam-jam tanpa sakit kepala :3 udah pakai lebih dari seminggu dan baterainya awet banget, baru di...",5
I***o,Sony WF-C710N Noice Cancelling Truly Wireless / WFC710N,Top Markotop.. next order lagi.. Original nall,5
irawan,SONY ICD-UX570 Digital Voice Recorder with Built-in USB,"Kualitas rekaman suara sangat baik, pengiriman cepat",5
Muhammad,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,"Kualitas bagus, suara nya bagus seperti ada bass sedikit, tapi kabelnya 2 bergabung jadi 1 dan kurang panjang, saya sarankan headphone kabelnya minimal 2 meter dan cuma s...",5
Juli,Sony SRS-NB10 Wireless Neckband Speaker,"Terima kasih, paket sudah diterima dengan baik, kwalitas barang OK, seller responsif",5
Farid,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,"barang sudah sampai, semoga awet dan berfungsi baik",5
a***l,PlayStation 5 Console Covers Chroma Indigo CFI-ZCS2G11 Cover PS5,okeee,5
M***M,Sony DualSense PS5 Dual-Sense Chroma Indigo CFI-ZCT1G11 Stick PS 5,terimakasih barang ori dan normal,5
R***n,Sony Gran Turismo 7 Playstation 5 PS5,Barang bagus berjalan dengan normal,5
Y***i,Sony WI C100 Wireless In-Ear Headphones,"produk original, suara mantap, harga murah",5
